,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,Height,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
325,Jordan McLaughlin,MIN,PG,0.0728643216080402,0.5,0.6410256410256411,0.7662337662337662,0.43,0.11891891891891893,0.3807228915662651,0.24353120243531207,0.0945179584120983,0.10000000000000023,0.3,0.14,0.13,0.22,0.17,0.09,0.13,0.01,0.11,0.08,0.61,0.17,0.04,0.2,0.11,0.35
326,Ben McLemore,HOU,SG,0.6884422110552764,0.5082352941176471,0.5074786324786326,0.7272727272727273,0.54,0.1618918918918919,0.4373493975903614,0.19101978691019791,0.1550094517958412,0.3000000000000001,0.34,0.2,0.19,0.17,0.16,0.09,0.12,0.02,0.13,0.11,0.13,0.09,0.08,0.2,0.24,0.37
327,Jordan McRae,DET,SG,0.3065326633165829,0.32705882352941174,0.569017094017094,0.6753246753246753,0.32,0.18540540540540543,0.5344578313253012,0.17123287671232879,0.054820415879017016,0.40000000000000036,0.43,0.14,0.14,0.29,0.29,0.19,0.24,0.02,0.18,0.13,0.29,0.08,0.1,0.2,0.19,0.45
328,Nicolo Melli,NOP,C,0.14824120603015076,0.4323529411764706,0.5363247863247864,0.7272727272727273,0.64,0.24864864864864863,0.37831325301204816,0.22831050228310504,0.1890359168241966,0.6000000000000002,0.31,0.2,0.19,0.14,0.11,0.11,0.14,0.03,0.21,0.17,0.23,0.1,0.17,0.19,0.27,0.35
329,De'Anthony Melton,MEM,PG,0.27386934673366836,0.4964705882352942,0.5461538461538462,0.6363636363636364,0.36,0.23810810810810812,0.41662650602409634,0.13622526636225268,0.2627599243856333,0.2500000000000003,0.31,0.09,0.11,0.19,0.19,0.1,0.14,0.03,0.2,0.16,0.44,0.2,0.15,0.29,0.23,0.3
330,Chimezie Metu,SAS,PF,0.11557788944723618,0.07794117647058825,0.5587606837606838,0.6103896103896104,0.04,0.4,0.5814457831325301,0.14231354642313548,0.04914933837429112,0.6000000000000002,0.4,0.0,0.02,0.38,0.38,0.19,0.23,0.08,0.28,0.28,0.27,0.12,0.29,0.38,0.17,0.39
331,Khris Middleton,MIL,SF,0.8241206030150754,0.9020588235294118,0.6673076923076924,0.7532467532467532,0.35,0.22864864864864867,0.5901204819277108,0.44063926940639275,0.500945179584121,0.5,0.44,0.17,0.16,0.32,0.29,0.2,0.23,0.02,0.21,0.16,0.35,0.12,0.04,0.28,0.18,0.52
332,Eric Mika,SAC,PF,0.0,0.48029411764705876,0.5897435897435898,1.0,0.0,0.5594594594594594,0.21445783132530122,0.16742770167427704,0.01890359168241966,0.65,0.16,0.0,0.0,0.24,0.16,0.21,0.21,0.11,0.4,0.37,0.0,0.0,0.0,0.0,0.59,0.29
333,CJ Miles,WAS,SG,0.6834170854271356,0.5241176470588236,0.5608974358974359,0.7142857142857143,0.66,0.1762162162162162,0.4937349397590361,0.2625570776255708,0.27221172022684315,0.4500000000000002,0.4,0.28,0.27,0.14,0.14,0.12,0.14,0.01,0.15,0.12,0.11,0.09,0.1,0.13,0.21,0.43
334,Malcolm Miller,TOR,SF,0.1306532663316583,0.11852941176470588,0.4773504273504274,0.7532467532467532,0.77,0.14594594594594595,0.2889156626506024,0.16742770167427704,0.04725897920604915,0.5,0.24,0.21,0.18,0.07,0.06,0.06,0.09,0.01,0.11,0.11,0.13,0.04,0.1,0.12,0.2,0.27
335,Patty Mills,SAS,PG,0.9798994974874372,0.5920588235294119,0.5893162393162393,0.7402597402597402,0.59,0.1262162162162162,0.4609638554216867,0.33637747336377477,0.3534971644612477,0.1999999999999999,0.36,0.24,0.21,0.16,0.14,0.09,0.11,0.01,0.1,0.08,0.35,0.09,0.04,0.19,0.15,0.39
336,Paul Millsap,DEN,PF,0.7738693467336684,0.8035294117647059,0.6878205128205128,0.7272727272727273,0.25,0.36972972972972973,0.5366265060240963,0.3805175038051751,0.6691871455576559,0.5,0.39,0.1,0.09,0.33,0.29,0.22,0.29,0.07,0.27,0.25,0.25,0.13,0.27,0.26,0.21,0.46
337,Shake Milton,PHI,SG,0.14824120603015076,0.44735294117647056,0.5641025641025641,0.7402597402597402,0.49,0.17027027027027025,0.4240963855421687,0.23363774733637752,0.1266540642722117,0.40000000000000036,0.34,0.19,0.17,0.2,0.17,0.1,0.13,0.02,0.13,0.11,0.32,0.08,0.08,0.2,0.25,0.39
338,Donovan Mitchell,UTA,SG,0.5628140703517588,0.915,0.667094017094017,0.7012987012987013,0.37,0.18054054054054053,0.7344578313253012,0.3059360730593607,0.6389413988657845,0.1999999999999999,0.56,0.21,0.2,0.39,0.36,0.22,0.27,0.02,0.15,0.12,0.34,0.12,0.06,0.32,0.18,0.61
339,Naz Mitrou-Long,IND,SG,0.04773869346733668,0.11558823529411764,0.5102564102564102,0.5844155844155844,0.61,0.1291891891891892,0.4146987951807229,0.14764079147640793,0.03780718336483932,0.3000000000000001,0.29,0.09,0.18,0.14,0.11,0.03,0.03,0.0,0.14,0.09,0.52,0.04,0.1,0.37,0.21,0.22
340,Adam Mokoka,CHI,SG,0.02512562814070352,0.22088235294117647,0.46794871794871795,0.7012987012987013,0.54,0.13243243243243244,0.29156626506024097,0.16742770167427704,0.03780718336483932,0.40000000000000036,0.24,0.14,0.14,0.11,0.12,0.04,0.08,0.06,0.05,0.09,0.11,0.12,0.0,0.08,0.33,0.26
341,Malik Monk,CHO,SG,0.47738693467336685,0.42676470588235293,0.5393162393162393,0.6623376623376623,0.52,0.15513513513513513,0.5833734939759037,0.13774733637747338,0.1342155009451796,0.3000000000000001,0.45,0.21,0.24,0.24,0.22,0.13,0.15,0.02,0.14,0.11,0.29,0.07,0.08,0.26,0.17,0.45
342,Matt Mooney,CLE,SG,0.007537688442211055,0.0611764705882353,0.46581196581196577,0.3246753246753247,0.5,0.23783783783783785,0.21686746987951808,0.15981735159817353,0.01890359168241966,0.2500000000000003,0.21,0.0,0.11,0.09,0.11,0.0,0.0,0.0,0.25,0.17,0.12,0.32,0.31,0.0,0.09,0.1
343,E'Twaun Moore,NOP,SG,0.8090452261306532,0.6638235294117647,0.5433760683760684,0.7142857142857143,0.34,0.14027027027027028,0.4146987951807229,0.26636225266362257,0.23251417769376181,0.3000000000000001,0.34,0.13,0.12,0.26,0.22,0.05,0.07,0.02,0.11,0.09,0.23,0.08,0.08,0.16,0.17,0.36
344,Ja Morant,MEM,PG,0.1658291457286432,0.8320588235294117,0.6645299145299145,0.7272727272727273,0.19,0.17837837837837836,0.6240963855421686,0.33485540334855407,0.30245746691871456,0.3000000000000001,0.45,0.08,0.09,0.42,0.36,0.23,0.29,0.02,0.15,0.12,0.67,0.08,0.06,0.42,0.12,0.52
345,Juwan Morgan,UTA,PF,0.05025125628140704,0.10911764705882353,0.5085470085470085,0.8441558441558442,0.31,0.3216216216216216,0.26506024096385544,0.17503805175038056,0.03780718336483932,0.5,0.19,0.05,0.06,0.21,0.14,0.03,0.06,0.08,0.21,0.22,0.13,0.0,0.12,0.19,0.32,0.24
346,Marcus Morris,LAC,SF-PF,0.8768844221105527,0.8370588235294117,0.5809829059829059,0.7012987012987013,0.39,0.2491891891891892,0.49807228915662655,0.30136986301369867,0.41965973534971646,0.5499999999999998,0.39,0.16,0.15,0.26,0.24,0.15,0.19,0.03,0.2,0.17,0.17,0.07,0.06,0.18,0.17,0.42
347,Markieff Morris,LAL,PF,0.8241206030150754,0.675,0.5634615384615385,0.7012987012987013,0.32,0.31,0.4995180722891566,0.2062404870624049,0.2835538752362949,0.5499999999999998,0.38,0.12,0.12,0.29,0.27,0.12,0.16,0.04,0.25,0.21,0.19,0.09,0.15,0.24,0.26,0.41
348,Monte Morris,DEN,PG,0.3944723618090452,0.5973529411764706,0.6305555555555555,0.7402597402597402,0.31,0.1354054054054054,0.41493975903614455,0.4284627092846271,0.29111531190926276,0.2500000000000003,0.35,0.13,0.11,0.28,0.24,0.08,0.09,0.02,0.11,0.09,0.44,0.11,0.04,0.12,0.11,0.38
349,Johnathan Motley,LAC,PF,0.11306532663316583,0.15999999999999998,0.745940170940171,0.8051948051948051,0.06,0.42081081081081084,0.635421686746988,0.16971080669710809,0.05103969754253308,0.5499999999999998,0.43,0.0,0.02,0.52,0.41,0.24,0.39,0.1,0.3,0.3,0.21,0.08,0.08,0.34,0.31,0.55
350,Emmanuel Mudiay,UTA,PG,0.7512562814070352,0.625,0.5474358974358974,0.6363636363636364,0.28,0.18594594594594593,0.5850602409638554,0.09665144596651447,0.15689981096408318,0.3000000000000001,0.43,0.11,0.12,0.3,0.31,0.16,0.22,0.02,0.16,0.12,0.45,0.09,0.1,0.37,0.15,0.42
351,Mychal Mulder,GSW,SG,0.01507537688442211,0.7785294117647058,0.45940170940170943,0.6883116883116883,0.78,0.16486486486486485,0.39036144578313253,0.15981735159817353,0.01890359168241966,0.3000000000000001,0.33,0.22,0.26,0.11,0.07,0.09,0.12,0.01,0.15,0.11,0.11,0.03,0.02,0.1,0.22,0.34
352,Dejounte Murray,SAS,PG,0.4623115577889447,0.5179411764705882,0.5995726495726496,0.6493506493506493,0.13,0.33135135135135135,0.5134939759036145,0.16590563165905634,0.45368620037807184,0.3499999999999999,0.36,0.04,0.04,0.33,0.32,0.12,0.16,0.05,0.28,0.24,0.42,0.18,0.1,0.31,0.19,0.36
353,Jamal Murray,DEN,PG,0.7437185929648241,0.7811764705882354,0.6181623931623932,0.7142857142857143,0.4,0.1827027027027027,0.5657831325301205,0.35768645357686457,0.2835538752362949,0.3499999999999999,0.44,0.17,0.18,0.3,0.27,0.16,0.18,0.03,0.15,0.12,0.37,0.09,0.08,0.26,0.14,0.48
354,Dzanan Musa,BRK,SF,0.12060301507537688,0.23705882352941177,0.47948717948717945,0.6103896103896104,0.45,0.23405405405405405,0.5236144578313253,0.13850837138508373,0.09640831758034027,0.6000000000000002,0.38,0.1,0.17,0.23,0.21,0.17,0.24,0.04,0.2,0.18,0.24,0.08,0.0,0.3,0.12,0.37
355,Mike Muscala,OKC,C,0.7361809045226131,0.3955882352941177,0.5743589743589744,0.7532467532467532,0.5,0.2927027027027027,0.36819277108433734,0.2442922374429224,0.20793950850661627,0.65,0.29,0.16,0.15,0.17,0.14,0.1,0.11,0.05,0.22,0.2,0.17,0.08,0.23,0.14,0.21,0.33
356,Larry Nance,CLE,C,0.7889447236180904,0.6120588235294119,0.6576923076923077,0.7532467532467532,0.14,0.41783783783783784,0.35012048192771084,0.33257229832572305,0.25897920604914937,0.5,0.27,0.04,0.04,0.29,0.22,0.08,0.13,0.09,0.29,0.28,0.22,0.15,0.17,0.17,0.22,0.31
357,Shabazz Napier,WAS,PG,0.7361809045226131,0.4191176470588236,0.5782051282051283,0.6883116883116883,0.49,0.1583783783783784,0.5009638554216868,0.2001522070015221,0.19848771266540643,0.15000000000000005,0.36,0.17,0.18,0.19,0.18,0.18,0.21,0.02,0.14,0.11,0.4,0.14,0.04,0.31,0.14,0.4
358,Raul Neto,PHI,PG,0.6331658291457286,0.3264705882352941,0.5399572649572649,0.7012987012987013,0.37,0.1435135135135135,0.4236144578313253,0.18417047184170474,0.19281663516068054,0.1999999999999999,0.3,0.13,0.11,0.21,0.19,0.09,0.12,0.01,0.12,0.09,0.4,0.11,0.06,0.29,0.19,0.32
359,Malik Newman,CLE,SG,0.0,0.039117647058823535,0.04914529914529912,0.45454545454545453,0.5,0.0,1.0,0.15981735159817353,0.01890359168241966,0.3000000000000001,0.5,0.0,0.25,0.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.45
